"language","bytes of code"
"PHP","203529280"
"CSS","24827167"
"JavaScript","144563455"
"Perl","1918570"
"CoffeeScript","816906"
"C++","16324674"
"Perl6","3625344"
"C","4762147"
"Shell","2626935"
"Python","32732945"
"Assembly","871139"
"CMake","123322"
"Java","137898831"
"Groff","75527"
"HTML","43066721"
"Makefile","327437"
"XSLT","18046447"
"TeX","485710"
"DOT","111616"
"C#","561563"
"Ruby","23960368"
"Puppet","540963"
"Pascal","12021"
"ASP","353114"
"TypeScript","553000"
"AppleScript","692"
"XML","391988"
"ApacheConf","31699"
"ActionScript","687664"
"PowerShell","4631"
"Verilog","28749"
"Emacs Lisp","30805"
"ColdFusion","678661"
"Racket","12258"
"Rust","778"
"Arduino","8766"
"PLSQL","67660"
"SQLPL","158002"
"Handlebars","5036"
"Gosu","3293"
"Objective-C","215610"
"Groovy","876495"
"Smarty","2269574"
"Cucumber","3748"
"Haskell","722"
"Lasso","18060"
"Tcl","35583"
"D","1174"
"Thrift","1514"
"Prolog","1319101"
"R","82139"
"Standard ML","33"
"Lua","25557"
"XQuery","224398"
"Mako","74799"
"Common Lisp","46904"
"Ragel in Ruby Host","5112"
"Elixir","4002"
"Nginx","2358"
"Gettext Catalog","81792"
"Nu","533"
"Eagle","40760"
"Scala","1514"
"Go","5663"
"Web Ontology Language","214787"
"PLpgSQL","548"
"Rebol","2897"
"SystemVerilog","28700"
"Frege","22799"
"Slash","11042"
