"language","repos appeared in","primary language in repo","total bytes across repos"
"JavaScript","376","123","144563455"
"CSS","319","43","24827167"
"Ruby","270","199","23960368"
"PHP","239","191","203529280"
"Shell","175","17","2626935"
"Python","125","79","32732945"
"HTML","125","18","43066721"
"Java","124","105","137898831"
"XSLT","80","22","18046447"
"Perl","65","15","1918570"
"CoffeeScript","44","3","816906"
"ApacheConf","25","1","31699"
"Puppet","20","10","540963"
"Makefile","16","0","327437"
"TypeScript","15","11","553000"
"Groovy","13","14","876495"
"XML","13","1","391988"
"C","12","2","4762147"
"ASP","10","0","353114"
"C#","10","4","561563"
"C++","9","3","16324674"
"Pascal","6","0","12021"
"ActionScript","6","2","687664"
"ColdFusion","5","0","678661"
"Objective-C","4","2","215610"
"Racket","4","0","12258"
"Rust","4","0","778"
"SQLPL","4","0","158002"
"Emacs Lisp","4","0","30805"
"Assembly","4","0","871139"
"PowerShell","3","0","4631"
"Handlebars","3","0","5036"
"Lua","3","2","25557"
"XQuery","3","1","224398"
"PLSQL","3","0","67660"
"Smarty","3","0","2269574"
"Prolog","2","0","1319101"
"R","2","1","82139"
"Gosu","2","1","3293"
"Groff","2","0","75527"
"Mako","2","0","74799"
"Nginx","2","0","2358"
"Eagle","2","0","40760"
"Web Ontology Language","2","1","214787"
"Haskell","1","0","722"
"Lasso","1","0","18060"
"Tcl","1","0","35583"
"D","1","0","1174"
"Thrift","1","0","1514"
"TeX","1","0","485710"
"Verilog","1","0","28749"
"Standard ML","1","0","33"
"DOT","1","0","111616"
"AppleScript","1","0","692"
"CMake","1","0","123322"
"Common Lisp","1","0","46904"
"Ragel in Ruby Host","1","0","5112"
"Elixir","1","0","4002"
"Slash","1","0","11042"
"Gettext Catalog","1","0","81792"
"Nu","1","0","533"
"Perl6","1","0","3625344"
"Scala","1","0","1514"
"Go","1","0","5663"
"Cucumber","1","0","3748"
"PLpgSQL","1","0","548"
"Rebol","1","0","2897"
"SystemVerilog","1","0","28700"
"Frege","1","0","22799"
"Arduino","1","0","8766"
